categoryId,categoryName,categoryPath
"35721","Budweiser","Root > Collectibles > Breweriana, Beer > Drinkware, Steins > Glasses > US > Budweiser"
"35722","Miller","Root > Collectibles > Breweriana, Beer > Drinkware, Steins > Glasses > US > Miller"
"35723","Other Vintage Beer Glasses","Root > Collectibles > Breweriana, Beer > Drinkware, Steins > Glasses > Other Vintage Beer Glasses"
"35724","Mugs","Root > Collectibles > Breweriana, Beer > Drinkware, Steins > Mugs"
"3923","US","Root > Collectibles > Breweriana, Beer > Drinkware, Steins > Mugs > US"
"35725","Germany","Root > Collectibles > Breweriana, Beer > Drinkware, Steins > Mugs > Germany"
"35726","Other Vintage Beer Mugs","Root > Collectibles > Breweriana, Beer > Drinkware, Steins > Mugs > Other Vintage Beer Mugs"
"40041","Lidded Steins","Root > Collectibles > Breweriana, Beer > Drinkware, Steins > Lidded Steins"
"3922","Other Lidded Steins","Root > Collectibles > Breweriana, Beer > Drinkware, Steins > Lidded Steins > Other Lidded Steins"
"40042","Germany","Root > Collectibles > Breweriana, Beer > Drinkware, Steins > Lidded Steins > Germany"
"40043","US","Root > Collectibles > Breweriana, Beer > Drinkware, Steins > Lidded Steins > US"
"40044","Steins","Root > Collectibles > Breweriana, Beer > Drinkware, Steins > Steins"
"3925","Other Vintage Beer Steins","Root > Collectibles > Breweriana, Beer > Drinkware, Steins > Steins > Other Vintage Beer Steins"
"40045","Germany","Root > Collectibles > Breweriana, Beer > Drinkware, Steins > Steins > Germany"
"40046","US","Root > Collectibles > Breweriana, Beer > Drinkware, Steins > Steins > US"
"13550","Bottle Caps","Root > Collectibles > Breweriana, Beer > Bottle Caps"
"13551","Mirrors","Root > Collectibles > Breweriana, Beer > Mirrors"
"35716","Advertising-Print","Root > Collectibles > Breweriana, Beer > Advertising-Print"
"35717","Clocks","Root > Collectibles > Breweriana, Beer > Clocks"
"35728","Playing Cards","Root > Collectibles > Breweriana, Beer > Playing Cards"
"35729","Posters, Prints","Root > Collectibles > Breweriana, Beer > Posters, Prints"
"35730","Tap Handles, Knobs","Root > Collectibles > Breweriana, Beer > Tap Handles, Knobs"
"571","Other Beer Tap Handles, Knobs","Root > Collectibles > Breweriana, Beer > Tap Handles, Knobs > Other Beer Tap Handles, Knobs"
"35731","Budweiser","Root > Collectibles > Breweriana, Beer > Tap Handles, Knobs > Budweiser"
"35732","Miller","Root > Collectibles > Breweriana, Beer > Tap Handles, Knobs > Miller"
"35733","Towels","Root > Collectibles > Breweriana, Beer > Towels"
"50731","Ashtrays","Root > Collectibles > Breweriana, Beer > Ashtrays"
"50732","Coolers","Root > Collectibles > Breweriana, Beer > Coolers"
"50733","Hats","Root > Collectibles > Breweriana, Beer > Hats"
"50734","Lighters","Root > Collectibles > Breweriana, Beer > Lighters"
"50735","Patches","Root > Collectibles > Breweriana, Beer > Patches"
"50736","Clothing","Root > Collectibles > Breweriana, Beer > Clothing"
"50737","Signs & Tins","Root > Collectibles > Breweriana, Beer > Signs & Tins"
"569","Other Beer Signs & Tins","Root > Collectibles > Breweriana, Beer > Signs & Tins > Other Beer Signs & Tins"
"50738","Budweiser","Root > Collectibles > Breweriana, Beer > Signs & Tins > Budweiser"
"50739","Coors","Root > Collectibles > Breweriana, Beer > Signs & Tins > Coors"
"50740","Corona","Root > Collectibles > Breweriana, Beer > Signs & Tins > Corona"
"50741","Guinness","Root > Collectibles > Breweriana, Beer > Signs & Tins > Guinness"
"50742","Hamm's","Root > Collectibles > Breweriana, Beer > Signs & Tins > Hamm's"
"50743","Heineken","Root > Collectibles > Breweriana, Beer > Signs & Tins > Heineken"
"50744","Michelob","Root > Collectibles > Breweriana, Beer > Signs & Tins > Michelob"
"50745","Miller","Root > Collectibles > Breweriana, Beer > Signs & Tins > Miller"
"50746","Pabst","Root > Collectibles > Breweriana, Beer > Signs & Tins > Pabst"
"50747","Schlitz","Root > Collectibles > Breweriana, Beer > Signs & Tins > Schlitz"
"63746","Rolling Rock","Root > Collectibles > Breweriana, Beer > Signs & Tins > Rolling Rock"
"72041","Pins","Root > Collectibles > Breweriana, Beer > Pins"
"170075","Bottles: Aluminum","Root > Collectibles > Breweriana, Beer > Bottles: Aluminum"
"593","Tobacciana","Root > Collectibles > Tobacciana"
"44","Cigarettes","Root > Collectibles > Tobacciana > Cigarettes"
"133","Other Tobacciana","Root > Collectibles > Tobacciana > Other Tobacciana"
"594","Ashtrays","Root > Collectibles > Tobacciana > Ashtrays"
"951","Lighters","Root > Collectibles > Tobacciana > Lighters"
"595","Other Collectible Lighters","Root > Collectibles > Tobacciana > Lighters > Other Collectible Lighters"
"11678","Colibri","Root > Collectibles > Tobacciana > Lighters > Colibri"
"11679","Dunhill","Root > Collectibles > Tobacciana > Lighters > Dunhill"
"11680","Ronson","Root > Collectibles > Tobacciana > Lighters > Ronson"
"13622","Evans","Root > Collectibles > Tobacciana > Lighters > Evans"
"20190","Dupont","Root > Collectibles > Tobacciana > Lighters > Dupont"
"20191","Scripto","Root > Collectibles > Tobacciana > Lighters > Scripto"
"38042","Zippo","Root > Collectibles > Tobacciana > Lighters > Zippo"
"952","Other Zippo Lighters","Root > Collectibles > Tobacciana > Lighters > Zippo > Other Zippo Lighters"
"38043","Animals","Root > Collectibles > Tobacciana > Lighters > Zippo > Animals"
"38044","Automobiles","Root > Collectibles > Tobacciana > Lighters > Zippo > Automobiles"
"38045","Beers","Root > Collectibles > Tobacciana > Lighters > Zippo > Beers"
"38046","Cigarettes","Root > Collectibles > Tobacciana > Lighters > Zippo > Cigarettes"
"38047","Distilleries","Root > Collectibles > Tobacciana > Lighters > Zippo > Distilleries"
"38048","Military","Root > Collectibles > Tobacciana > Lighters > Zippo > Military"
"38049","Motorcycles","Root > Collectibles > Tobacciana > Lighters > Zippo > Motorcycles"
"38050","Music","Root > Collectibles > Tobacciana > Lighters > Zippo > Music"
"38051","Sports","Root > Collectibles > Tobacciana > Lighters > Zippo > Sports"
"70994","Celebrities","Root > Collectibles > Tobacciana > Lighters > Zippo > Celebrities"
"70995","Movies","Root > Collectibles > Tobacciana > Lighters > Zippo > Movies"
"70996","Playboy, Pinups","Root > Collectibles > Tobacciana > Lighters > Zippo > Playboy, Pinups"
"104029","Flags, Patriotic","Root > Collectibles > Tobacciana > Lighters > Zippo > Flags, Patriotic"
"104030","Nautical, Ships","Root > Collectibles > Tobacciana > Lighters > Zippo > Nautical, Ships"
"104031","Police, Firefighting","Root > Collectibles > Tobacciana > Lighters > Zippo > Police, Firefighting"
"104032","Skulls, Gothic","Root > Collectibles > Tobacciana > Lighters > Zippo > Skulls, Gothic"
"70993","Camel","Root > Collectibles > Tobacciana > Lighters > Camel"
"70997","Non-Branded Lighters","Root > Collectibles > Tobacciana > Lighters > Non-Branded Lighters"
"70998","Animals","Root > Collectibles > Tobacciana > Lighters > Non-Branded Lighters > Animals"
"70999","Automobiles","Root > Collectibles > Tobacciana > Lighters > Non-Branded Lighters > Automobiles"
"71000","Casino-related","Root > Collectibles > Tobacciana > Lighters > Non-Branded Lighters > Casino-related"
"71001","Gun-shaped","Root > Collectibles > Tobacciana > Lighters > Non-Branded Lighters > Gun-shaped"
"71002","Other Non-Branded Lighters","Root > Collectibles > Tobacciana > Lighters > Non-Branded Lighters > Other Non-Branded Lighters"
"73561","Cigar Lighters","Root > Collectibles > Tobacciana > Lighters > Non-Branded Lighters > Cigar Lighters"
"73562","Pen-shaped","Root > Collectibles > Tobacciana > Lighters > Non-Branded Lighters > Pen-shaped"
"104033","Anime","Root > Collectibles > Tobacciana > Lighters > Non-Branded Lighters > Anime"
"104034","Glass Lighters","Root > Collectibles > Tobacciana > Lighters > Non-Branded Lighters > Glass Lighters"
"4117","Match Holders","Root > Collectibles > Tobacciana > Match Holders"
"4118","Pipes","Root > Collectibles > Tobacciana > Pipes"
"596","Other Collectible Pipes","Root > Collectibles > Tobacciana > Pipes > Other Collectible Pipes"
"4119","Estate","Root > Collectibles > Tobacciana > Pipes > Estate"
"30733","Meerschaum","Root > Collectibles > Tobacciana > Pipes > Meerschaum"
"156519","Unsmoked","Root > Collectibles > Tobacciana > Pipes > Unsmoked"
"4120","Tobacco Cards","Root > Collectibles > Tobacciana > Tobacco Cards"
"11671","Cigars","Root > Collectibles > Tobacciana > Cigars"
"986","Other Cigar Collectibles","Root > Collectibles > Tobacciana > Cigars > Other Cigar Collectibles"
"11672","Bands","Root > Collectibles > Tobacciana > Cigars > Bands"
"11673","Cigar Boxes","Root > Collectibles > Tobacciana > Cigars > Cigar Boxes"
"11674","Cutters & Scissors","Root > Collectibles > Tobacciana > Cigars > Cutters & Scissors"
"11676","Labels","Root > Collectibles > Tobacciana > Cigars > Labels"
"11677","Tins","Root > Collectibles > Tobacciana > Cigars > Tins"
"38040","Ads & Posters","Root > Collectibles > Tobacciana > Cigars > Ads & Posters"
"156508","Cigar Cases & Holders","Root > Collectibles > Tobacciana > Cigars > Cigar Cases & Holders"
"156509","Humidors","Root > Collectibles > Tobacciana > Cigars > Humidors"
"11675","Contemporary","Root > Collectibles > Tobacciana > Cigars > Humidors > Contemporary"
"156516","Antique & Vintage","Root > Collectibles > Tobacciana > Cigars > Humidors > Antique & Vintage"
"156517","Accessory Kits","Root > Collectibles > Tobacciana > Cigars > Accessory Kits"
"156518","Lighters","Root > Collectibles > Tobacciana > Cigars > Lighters"
"157025","Grinders","Root > Collectibles > Tobacciana > Cigars > Grinders"
"38039","Cases","Root > Collectibles > Tobacciana > Cases"
"38041","Felts & Silks","Root > Collectibles > Tobacciana > Felts & Silks"
"38052","Signs","Root > Collectibles > Tobacciana > Signs"
"38053","Tins","Root > Collectibles > Tobacciana > Tins"
"73563","Papers","Root > Collectibles > Tobacciana > Papers"
"73564","Rollers & Makers","Root > Collectibles > Tobacciana > Rollers & Makers"
"73565","Tags","Root > Collectibles > Tobacciana > Tags"
"75512","Snuff Boxes","Root > Collectibles > Tobacciana > Snuff Boxes"
"112485","Hookahs","Root > Collectibles > Tobacciana > Hookahs"
"171195","Price Guides & Publications","Root > Collectibles > Tobacciana > Price Guides & Publications"
"597","Vanity, Perfume & Shaving","Root > Collectibles > Vanity, Perfume & Shaving"
"598","Other Vanity Collectibles","Root > Collectibles > Vanity, Perfume & Shaving > Other Vanity Collectibles"
"599","Vanity Accessories","Root > Collectibles > Vanity, Perfume & Shaving > Vanity Accessories"
"601","Hatpins","Root > Collectibles > Vanity, Perfume & Shaving > Hatpins"
"4154","Powder Jars","Root > Collectibles > Vanity, Perfume & Shaving > Powder Jars"
"4155","Sets","Root > Collectibles > Vanity, Perfume & Shaving > Sets"
"14081","Hand Mirrors","Root > Collectibles > Vanity, Perfume & Shaving > Hand Mirrors"
"14082","Pill Boxes","Root > Collectibles > Vanity, Perfume & Shaving > Pill Boxes"
"18790","Combs, Brushes","Root > Collectibles > Vanity, Perfume & Shaving > Combs, Brushes"
"18791","Trinket Boxes","Root > Collectibles > Vanity, Perfume & Shaving > Trinket Boxes"
"35979","Compacts","Root > Collectibles > Vanity, Perfume & Shaving > Compacts"
"600","Unspecified, Unknown Date","Root > Collectibles > Vanity, Perfume & Shaving > Compacts > Unspecified, Unknown Date"
"156526","Pre-1930","Root > Collectibles > Vanity, Perfume & Shaving > Compacts > Pre-1930"
"156527","1930-1949","Root > Collectibles > Vanity, Perfume & Shaving > Compacts > 1930-1949"
"156528","1950-1979","Root > Collectibles > Vanity, Perfume & Shaving > Compacts > 1950-1979"
"156529","1980-Now","Root > Collectibles > Vanity, Perfume & Shaving > Compacts > 1980-Now"
"35982","Perfumes","Root > Collectibles > Vanity, Perfume & Shaving > Perfumes"
"602","Other Perfume Collectibles","Root > Collectibles > Vanity, Perfume & Shaving > Perfumes > Other Perfume Collectibles"
"35983","Commercial Bottles/Tins","Root > Collectibles > Vanity, Perfume & Shaving > Perfumes > Commercial Bottles/Tins"
"35984","Commercial Miniatures","Root > Collectibles > Vanity, Perfume & Shaving > Perfumes > Commercial Miniatures"
"35985","Decorative Glass/Crystal","Root > Collectibles > Vanity, Perfume & Shaving > Perfumes > Decorative Glass/Crystal"
"35986","Shaving","Root > Collectibles > Vanity, Perfume & Shaving > Shaving"
"887","Other Shaving Collectibles","Root > Collectibles > Vanity, Perfume & Shaving > Shaving > Other Shaving Collectibles"
"35987","Electric Shavers","Root > Collectibles > Vanity, Perfume & Shaving > Shaving > Electric Shavers"
"35988","Mugs, Brushes","Root > Collectibles > Vanity, Perfume & Shaving > Shaving > Mugs, Brushes"
"35989","Safety Razors","Root > Collectibles > Vanity, Perfume & Shaving > Shaving > Safety Razors"
"35990","Straight Razors","Root > Collectibles > Vanity, Perfume & Shaving > Shaving > Straight Razors"
"35991","Shaving Sets","Root > Collectibles > Vanity, Perfume & Shaving > Shaving > Shaving Sets"
